Date,Open,High,Low,Close,Volume
2020-01-31,1962.3852966752083,1966.9259113056376,1900.195268672289,1907.02880859375,3287223
2020-02-03,1973.943055607164,2013.1100036046025,1920.0081355078892,1928.5386962890625,4728073
2020-02-04,1952.8458945340299,1959.908749411488,1913.9541729649195,1933.3541259765625,3509339
2020-02-05,1940.0043796999387,1978.2540666534662,1930.1897451202635,1968.9439697265625,2439322
2020-02-06,1967.5224092371839,1994.3063524909346,1940.4632432360197,1952.2501220703125,2640065
2020-02-07,1962.0184816922815,1973.0255979991107,1943.6732878475664,1959.771240234375,2083442
2020-02-10,1963.7612184448749,1987.7017863896242,1943.6733204243717,1983.069580078125,2383032
2020-02-11,1984.0330791628335,1994.8567903097298,1969.9073668808746,1975.227294921875,1335820
2020-02-12,1973.1175370579365,2004.2125529950765,1972.1084617571692,1991.1416015625,1620407
2020-02-13,1993.1591045935452,2015.219241672103,1991.370493249948,2010.5870361328125,1645948
2020-02-14,2006.9645139883462,2028.978749973593,1991.3710968321295,2003.4788818359375,1500115
2020-02-17,2015.1736117985683,2033.564713194464,2008.9821089505472,2020.952392578125,1774724
2020-02-18,2017.9255858098331,2037.2339487524505,2005.1757645855957,2032.4183349609375,2486223
2020-02-19,2032.4180383771015,2045.4889881895233,2009.257232569126,2014.623291015625,1760463
2020-02-20,2022.0990694119807,2031.1798511387062,1973.2549889192667,1978.3458251953125,2317278
2020-02-24,1977.6119575175596,1998.663023316235,1932.3910085061034,1940.325439453125,3092877
2020-02-25,1940.4628728518874,1996.5532132804224,1936.3352042497445,1977.7493896484375,2674567
2020-02-26,1975.7780471418096,1984.8588315984618,1938.1244792176178,1947.8934326171875,2686842
2020-02-27,1944.5448867922523,1944.5448867922523,1913.5873682466092,1931.29052734375,2349001
2020-02-28,1896.8931559027951,1898.2690455226473,1825.3468956704846,1834.6571044921875,4298076
2020-03-02,1866.6232734459109,1884.0052979609404,1821.4023306819806,1835.711669921875,2667076
2020-03-03,1852.8645590223346,1889.5549463297075,1845.5264815608598,1867.72412109375,2757585
2020-03-04,1885.8859085548484,1921.1544985838664,1857.4508583772217,1910.8353271484375,3237002
2020-03-05,1913.129118449683,1970.0451456795881,1911.6157290406966,1949.223388671875,3937056
2020-03-06,1924.4110740145986,1947.9386984748967,1900.1955046994335,1941.33447265625,2595027
2020-03-09,1903.314089730887,1907.8085731859062,1774.8977174116947,1809.1573486328125,4940975
2020-03-11,1773.0629405343802,1822.870185359189,1761.1385648349767,1792.0501708984375,6796449
2020-03-12,1746.462524444583,1750.49848964721,1612.8636224889115,1623.412109375,8728786
2020-03-13,1548.2429659827299,1669.4129731212843,1381.4392800459425,1656.8465576171875,8029720
2020-03-16,1609.7909527938912,1689.8218705325048,1537.1898170587494,1556.03955078125,7844271
2020-03-17,1586.8596064771184,1587.7768663652555,1488.8504098237136,1520.81689453125,5713248
2020-03-18,1538.061537972725,1571.7708413330158,1493.069892373151,1517.514892578125,7258778
2020-03-19,1441.1031131663897,1557.291304583922,1429.137853479666,1511.9248046875,5135111
2020-03-20,1506.0575617448494,1726.8844066878057,1503.2856766618834,1660.77490234375,8547498
2020-03-23,1496.8179192234757,1616.932937432767,1494.7390054467764,1542.73876953125,7003490
2020-03-24,1527.354808831873,1635.4120757256649,1508.6907163398864,1573.645263671875,6350865
2020-03-25,1570.7348865547465,1672.3706733318184,1552.255652595279,1617.210205078125,2765520
2020-03-26,1692.328105941057,1692.7439563492455,1591.5701574463142,1654.76904296875,4556067
2020-03-27,1681.6104824309741,1709.3293365369793,1617.3027634627038,1685.768310546875,4331250
2020-03-30,1631.7161055664887,1760.1467616671353,1629.4524448728307,1643.265625,8513547
2020-03-31,1697.6872724233122,1713.9489759991218,1644.6518475894538,1687.2464599609375,3927593
2020-04-01,1687.0618479580014,1695.2388872081028,1572.5829600916695,1578.8197021484375,4941878
2020-04-03,1607.6933152665526,1607.6933152665526,1524.5367644769035,1528.4173583984375,5735369
2020-04-07,1579.974302795721,1650.0567661252323,1575.3544948928097,1640.216552734375,5427577
2020-04-08,1626.1725399801849,1668.674776820576,1571.6588014240308,1575.7703857421875,6285615
2020-04-09,1617.3483511373004,1643.54274970792,1599.5620923879144,1631.8546142578125,5307397
2020-04-13,1627.0964250346385,1651.1194273349795,1613.2370006305955,1625.4794921875,2990438
2020-04-15,1649.2715005801533,1674.218464454475,1596.420940746904,1603.2120361328125,4761399
2020-04-16,1579.9281967635109,1630.6999576972469,1547.682025032347,1585.564453125,6245533
2020-04-17,1663.130979921454,1711.1307428099828,1619.7047821123936,1668.8594970703125,9895823
2020-04-20,1690.8499802763804,1690.8499802763804,1665.441032485342,1680.363037109375,3244282
2020-04-21,1630.7919290776165,1658.1411649339573,1596.3281225149497,1605.5216064453125,5122541
2020-04-22,1605.5215588237445,1653.8909158439883,1588.4282728220048,1634.94970703125,3829836
2020-04-23,1644.6515635918574,1755.5269499014207,1626.9576773023011,1735.4307861328125,5934366
2020-04-24,1700.7362917363089,1711.1308610792657,1670.3380413995426,1680.2706298828125,2987102
2020-04-27,1692.975030497918,1732.4281490980616,1686.2300651221133,1696.947998046875,3374741
2020-04-28,1723.1884445666647,1725.9603294640908,1693.2520651168038,1717.69091796875,2678505
2020-04-29,1731.5042695623015,1767.1230391128531,1709.3754314033313,1760.7476806640625,4241510
2020-04-30,1829.443981817404,1877.4899853802854,1794.5181879583042,1861.2744140625,5915544
2020-05-04,1816.5085010059918,1816.5085010059918,1768.1391339259756,1783.66162109375,3729348
2020-05-05,1806.4375088765123,1826.6722927959472,1780.4742074950886,1785.7869873046875,2905528
2020-05-06,1792.300997713933,1805.1439754496432,1749.6138983830233,1758.853515625,3517431
2020-05-07,1764.76680805222,1787.3576260033312,1740.1432067329956,1747.8121337890625,3166754
2020-05-08,1791.6539560260762,1792.023563231989,1742.8226069328896,1749.428955078125,2686530
2020-05-11,1763.8428293517247,1803.018826746739,1763.8428293517247,1788.14306640625,2449841
2020-05-12,1786.3876661491656,1807.731159970405,1764.9979291252064,1801.263427734375,3256595
2020-05-13,1842.379407286702,1842.379407286702,1779.2266552766316,1801.4017333984375,2656665
2020-05-14,1764.766938326883,1776.8708146656013,1747.3040387355172,1757.6986083984375,2263146
2020-05-15,1770.3106562693124,1771.6042252355192,1723.373355758127,1748.9671630859375,3173682
2020-05-18,1761.9948923838126,1804.450885708474,1729.7486077683702,1797.6597900390625,3727694
2020-05-19,1758.2991522889852,1816.9244782786252,1758.2991522889852,1800.47802734375,3198693
2020-05-20,1801.7255178756218,1813.6446477053832,1784.8169717463895,1805.0517578125,2778505
2020-05-21,1798.0294570041156,1846.075465104945,1793.5482653446775,1839.79248046875,3400908
2020-05-22,1826.7647290629207,1877.4902510206966,1812.1199580779237,1866.72607421875,3663418
2020-05-26,1861.782810213145,1870.0984654448662,1778.6262578959327,1795.257568359375,4575317
2020-05-27,1810.04072441573,1857.1627647144549,1793.6404064686246,1852.8201904296875,3482160
2020-05-28,1837.297602152501,1860.8586224466364,1821.4055080890228,1851.896240234375,3475681
2020-05-29,1831.2919848756221,1850.3718154492642,1813.182359146921,1822.375732421875,7237735
2020-06-01,1838.6834257970067,1903.3607322320775,1830.4601457068934,1889.7322998046875,3747773
2020-06-02,1903.5455456280138,1922.7639910381795,1884.927810572993,1891.4879150390625,2443886
2020-06-03,1901.4037127473325,1912.4310867858073,1871.8889377624862,1896.12158203125,3699799
2020-06-04,1896.6779020318575,1946.0234978707222,1896.6779020318575,1938.193115234375,4048593
2020-06-05,1938.2390716812133,1944.1697181711902,1890.7004627811448,1898.0675048828125,3573289
2020-06-08,1925.867519978463,1941.389368148625,1910.9017688057686,1919.8441162109375,2957841
2020-06-09,1911.8283523190298,1941.8526114344836,1909.1872310703388,1920.1220703125,2909439
2020-06-10,1924.7559540762447,1975.6768482328098,1921.4662030069094,1954.131591796875,5168397
2020-06-11,1946.0231578489977,1950.6565463200668,1910.6241151779645,1916.0450439453125,2269513
2020-06-12,1863.7339627809986,1898.9477119382675,1863.5486725070484,1889.958984375,2842642
2020-06-15,1889.5882548075326,1908.0291615082403,1854.2354820565454,1881.0628662109375,2399022
2020-06-16,1913.5891609703904,1921.8828798826005,1882.0821239374636,1895.7969970703125,2146528
2020-06-17,1895.9824476986723,1907.890345845038,1877.9586128841704,1897.6505126953125,2703527
2020-06-18,1895.0559642168253,1908.2147427790987,1876.7076998532445,1888.661865234375,1944389
2020-06-19,1892.2760851263417,1936.7566199383223,1883.0093070405126,1894.6854248046875,5681758
2020-06-22,1899.6892698149145,1901.774294623248,1871.1012856223986,1879.2559814453125,3196138
2020-06-23,1878.3759117787863,1894.1294344725402,1862.6223890850322,1886.0673828125,4205944
2020-06-24,1884.8622264760006,1912.8942236986647,1882.6381776261055,1892.4609375,2560937
2020-06-25,1885.7890104142732,1908.9559515741537,1861.9270610195963,1868.2747802734375,3043931
2020-06-26,1876.5220649489966,1975.6765641833385,1871.8422980082328,1963.4908447265625,6300722
2020-06-29,1953.4366179938147,1971.5995916550926,1937.9611454426529,1947.5521240234375,3076341
2020-06-30,1946.0229752385123,1957.0503482690037,1922.9024141853943,1929.481689453125,3071725
2020-07-01,1927.211325137098,1958.9500323716447,1927.0260348683287,1938.6558837890625,2503466
2020-07-02,1947.8763635330633,2006.2570537816757,1944.1696530410882,1998.9825439453125,3758699
2020-07-03,2005.0054584523796,2043.3236592937042,2001.8548458001019,2038.3658447265625,4185208
2020-07-06,2043.3242413458286,2103.4655310147455,2043.3242413458286,2097.2568359375,5190366
2020-07-07,2108.19172283762,2133.8606493358852,2068.483493737976,2103.465576171875,5630055
2020-07-08,2103.558149790496,2107.6354407303543,2045.7335581070924,2056.204833984375,2793358
2020-07-09,2065.564190037056,2079.92769158285,2030.396823435764,2042.7216796875,3443998
2020-07-10,2043.555579547095,2084.8854870014766,2016.4502623713768,2059.40185546875,9610320
2020-07-13,2057.223876953125,2080.3444333853754,2047.9571027326153,2057.223876953125,2963503
2020-07-14,2047.9578885935478,2074.831544145228,2006.2573885995616,2012.69775390625,2976738
2020-07-15,2024.7902979588973,2094.2911091016513,2021.176346275322,2070.104736328125,5569321
2020-07-16,2084.129571785155,2166.7888997213754,2061.932382285428,2075.53857421875,8582118
2020-07-17,2077.627617293998,2084.0359443686543,2034.0225590976222,2043.960205078125,4509135
2020-07-20,2044.1929894185453,2068.2476912802986,2034.719718778855,2050.601318359375,2952646
2020-07-21,2071.1265953133734,2079.1602467891603,2044.3318847603477,2066.529296875,2665286
2020-07-22,2072.055876273703,2072.055876273703,2028.5900241068662,2034.859130859375,2861534
2020-07-23,2034.8588082117278,2034.8588082117278,2008.9001119390189,2016.515869140625,2265766
2020-07-24,2001.0055498313288,2008.899978781696,1973.700203925391,2003.6988525390625,3665100
2020-07-27,2010.7582470199036,2057.196081824058,2009.3651119757787,2049.580322265625,4248480
2020-07-28,2057.195400548118,2154.7148213415953,2057.195400548118,2145.195068359375,8092319
2020-07-29,2128.7096149495733,2175.1474337748255,2086.0333047985987,2113.89599609375,6090431
2020-07-30,2123.0442924173703,2190.0077236047514,2110.366857489778,2117.100341796875,7098496
2020-07-31,2139.0649511905144,2168.460223715276,2096.620834234255,2118.864501953125,4723290
2020-08-03,2127.2695589329564,2139.715027862268,2071.776376870099,2093.5556640625,4012337
2020-08-04,2098.9430934545558,2107.9519856685165,2066.5295840541958,2089.42333984375,2927928
2020-08-05,2098.9892805031536,2136.1395332554216,2092.4879862715065,2098.52490234375,3800641
2020-08-06,2112.9206721234173,2154.2503292264905,2103.9582641471175,2143.66259765625,4748047
2020-08-07,2143.5692314434095,2162.144354766143,2124.06535195454,2131.820556640625,3165491
2020-08-10,2152.8572172011973,2159.3585116448594,2113.8959337061115,2120.1650390625,2929353
2020-08-11,2120.351159772425,2147.2850991650666,2113.4784521435276,2117.471923828125,2774423
2020-08-12,2125.3197683015237,2132.7960758170707,2086.497705986246,2096.5283203125,3415751
2020-08-13,2111.063438661406,2136.139863141766,2090.166418261106,2093.8349609375,2695682
2020-08-14,2114.7776411973805,2118.771337779627,2074.0053390773496,2082.410400390625,2270405
2020-08-17,2101.775526260991,2108.2768204208787,2078.788807624243,2092.859375,2625630
2020-08-18,2101.5898665972963,2125.9232370675118,2088.1228998268816,2108.044677734375,3493374
2020-08-19,2114.174972323245,2121.8372135310565,2092.0240388599673,2095.83203125,2843005
2020-08-20,2096.203369776609,2114.3606042616834,2080.4609928319774,2092.34912109375,2895164
2020-08-21,2098.989342978802,2109.205662789761,2081.3894555629904,2088.401611328125,1975294
2020-08-24,2090.259635574994,2098.9433734912063,2071.127159456911,2087.937744140625,2167966
2020-08-25,2085.0584009569457,2089.702183587139,2074.424184083242,2082.875732421875,1663419
2020-08-26,2082.2714518734747,2098.896097565586,2058.541685027454,2092.9521484375,2618149
2020-08-27,2104.562269869436,2124.391312228382,2082.0399243070647,2088.216064453125,3579393
2020-08-28,2106.790868676542,2117.5180501486975,2075.863462811354,2079.067626953125,2941136
2020-08-31,2080.414497729538,2114.035436673766,2069.26942006313,2096.435546875,6018154
2020-09-01,2107.348006694888,2115.706813244141,2081.621502998283,2086.311767578125,3610908
2020-09-02,2086.9156230390554,2107.116074663933,2081.9466856186673,2103.7724609375,2084137
2020-09-03,2106.4197078339043,2158.430070990297,2106.4197078339043,2135.675537109375,4654146
2020-09-04,2112.921151369211,2158.662411459292,2101.7295895916386,2125.738037109375,5231303
2020-09-07,2125.9227473633223,2176.5399556338775,2120.675366012095,2161.261962890625,4620401
2020-09-08,2169.527767068608,2220.144974533144,2161.261928475072,2180.905029296875,7453998
2020-09-09,2159.358954228705,2190.936676570114,2154.715171531439,2161.820068359375,3866535
2020-09-10,2168.645870665107,2181.1840801957187,2158.7082240161967,2165.070068359375,2308813
2020-09-11,2164.884957746923,2213.2267798016396,2164.141907183954,2204.9609375,4145424
