Date,Open,High,Low,Close,Volume
2020-01-01,315.03450543090395,316.2110609057363,312.6343150275467,314.7991943359375,17379320
2020-01-02,314.84626546858107,319.88192897209683,313.7638401064891,319.3642272949219,20324236
2020-01-03,318.0935503416839,318.0935503416839,312.4931347797769,314.09326171875,21853208
2020-01-06,312.21077315497644,312.21077315497644,299.0333518004016,300.2569580078125,35645325
2020-01-07,305.3867453430625,307.7869069810974,296.86846661546156,299.69219970703125,50966826
2020-01-08,293.76235427588534,302.6100450263121,292.7269797921713,301.0099182128906,44527485
2020-01-09,307.6927958499992,311.9283957495925,305.9044371928487,310.7989196777344,40348407
2020-01-10,311.5518686769599,318.0935281646586,308.82226590474994,312.7284240722656,42377838
2020-01-13,314.3756028778699,315.7404186316595,309.7164320041026,311.3165588378906,23615129
2020-01-14,310.42237776860867,312.21076502834967,307.31628287710794,308.7281494140625,26296117
2020-01-15,309.6693970761854,309.8576574395874,303.4101277738005,305.198486328125,32625740
2020-01-16,304.9631733147415,307.6927762198812,303.410125862205,304.3042907714844,26653623
2020-01-17,294.60951261700325,304.4925793341871,291.8799094590622,299.31573486328125,58396326
2020-01-20,302.1394617360109,302.5630332188989,294.9859983300713,295.5507507324219,30682902
2020-01-21,295.36247303982225,298.3274157972042,293.66824465660284,295.26837158203125,30591772
2020-01-22,298.3744653149353,298.3744653149353,295.2683703834752,297.57440185546875,24994911
2020-01-23,297.43320399243936,305.7161424872401,295.6918962621412,304.2101745605469,33293610
2020-01-24,304.4925504804364,308.0692675588772,302.2806204893883,305.0102233886719,22706879
2020-01-27,302.0452909482963,303.08066542601745,297.24493926031414,297.6214599609375,23309355
2020-01-28,299.2686421367492,301.1981814971666,292.7740333686189,296.5860900878906,26488426
2020-01-29,299.1745173286562,300.91582509158286,297.0096381255995,297.8567810058594,23914114
2020-01-30,298.1391270254114,298.1391270254114,287.69130972571486,292.4446105957031,35802330
2020-01-31,295.2683774649774,302.79833260619966,290.4680253175484,299.7392883300781,92656638
2020-02-03,285.197052745246,288.8208494243677,277.99653884162734,280.5849609375,56060158
2020-02-04,285.1029289649214,289.47970977136066,279.64372282079285,288.256103515625,51141567
2020-02-05,288.86788220711384,295.22128150224614,286.70303171486785,292.72698974609375,35014841
2020-02-06,292.9152535952779,304.4925476257145,291.8798790640157,303.03363037109375,57757656
2020-02-07,302.6100750186933,305.90443042325137,299.6922116297562,301.71588134765625,37126803
2020-02-10,301.0099220441616,303.8336550041425,297.9038272779815,299.78631591796875,24816396
2020-02-11,302.18647903206346,306.6573895755266,302.18647903206346,305.2926025390625,30188757
2020-02-12,310.5165282436939,310.5165282436939,300.4922809210628,301.386474609375,38930849
2020-02-13,303.08068644184533,311.5048350237395,303.08068644184533,308.2104797363281,62516057
2020-02-14,308.8222910777636,312.399008281243,299.8333898902178,300.6334533691406,48205947
2020-02-17,302.092382450081,302.2806140834056,293.33879285230205,295.7389831542969,36950692
2020-02-18,296.8684811424876,300.4452271348669,291.2210146829939,298.89215087890625,38588583
2020-02-19,303.3630275655559,304.9631543715013,298.609755322095,301.5276184082031,39846727
2020-02-20,300.5863953751634,309.85765816674575,300.0216430081307,308.3987121582031,40150409
2020-02-24,306.6103260254312,311.8342203205634,302.9394790565954,303.974853515625,45273936
2020-02-25,306.751549101484,308.86934903521933,303.268962000708,307.5986633300781,39050709
2020-02-26,305.76323798310267,311.36362472506147,305.1514348902162,308.9164123535156,43915281
2020-02-27,308.72814720628855,310.6106359087659,299.3157036939017,303.03363037109375,47010040
2020-02-28,293.66822014232673,296.1625117800466,283.4086630681511,285.197021484375,59705346
2020-03-02,292.7269824560025,293.6682267725813,267.3604366344054,270.51361083984375,66711413
2020-03-03,275.7846163403018,277.1023527895192,268.5370227828555,272.8197021484375,61949382
2020-03-04,274.6550752547897,275.78457990460714,258.936312679225,268.5369873046875,73675736
2020-03-05,273.8079612893464,280.86729354358096,254.13596115244528,271.5489807128906,149245973
2020-03-06,252.25350213183052,258.27746061694444,239.02901528567824,254.6066131591797,106043172
2020-03-09,244.77058428449436,247.3119555458399,236.39351522688983,238.55838012695312,101286241
2020-03-11,238.13483004349033,243.31167417487057,228.81651635190576,230.69900512695312,90845604
2020-03-12,218.27457181417333,218.27457181417333,196.34358866349712,200.1085662841797,99767083
2020-03-13,188.24887866816243,234.18160793564402,173.8007714854811,227.78114318847656,155701316
2020-03-16,214.50959453017498,217.80394995344292,207.6385218514446,210.22694396972656,75583409
2020-03-17,213.85072598208762,216.39208300359564,199.59087898866784,202.50872802734375,65403057
2020-03-18,208.01500636692836,210.03867602333585,188.34300472237652,202.5557861328125,101356399
2020-03-19,191.02553430587378,206.8384419558344,186.5075586398495,191.6844024658203,93533467
2020-03-20,193.4727878395074,203.02641268286163,188.24887858628796,197.5201416015625,77391650
2020-03-23,178.8364400708559,187.7782620743987,169.6593069619567,170.92999267578125,61750037
2020-03-24,179.73060244005768,180.67184677267096,163.35295679748594,172.4359588623047,67491360
2020-03-25,167.5415067198938,183.7779729610071,166.08257499679303,178.7423095703125,71567553
2020-03-26,180.29537526765012,189.1901323489178,174.22435150502295,181.42486572265625,107260359
2020-03-27,190.13135983729356,199.44967321313257,183.54264934788242,184.43682861328125,114740377
2020-03-30,178.83642708217164,183.54264884749196,175.3067607581814,175.91856384277344,60081554
2020-03-31,180.71892497512937,186.83701358105822,177.0010124639764,185.28396606445312,59543412
2020-04-01,182.60139373147197,183.07201588026444,174.36550612760405,175.58912658691406,52954239
2020-04-03,176.530382408527,177.14218549699686,164.71776283025062,165.18838500976562,64448494
2020-04-07,173.56544835553186,176.29506552435205,167.16499841429535,175.44793701171875,72130500
2020-04-08,172.1535810044015,182.97789072346634,169.8475352845287,172.24771118164062,80435759
2020-04-09,176.95393901880826,178.8364277317743,172.8124695951826,176.7186279296875,62416005
2020-04-13,175.8244472363271,177.61280575422924,172.34184601805768,172.7183380126953,51847146
2020-04-15,176.01269044198187,180.67184702240812,169.56516100976913,171.6359100341797,72190004
2020-04-16,171.30647225215517,178.7422968962227,169.65929463434597,177.424560546875,61165773
2020-04-17,184.4838993521588,186.36638812105838,175.35383169544573,181.89547729492188,89851063
2020-04-20,182.60139588195008,185.7545700608934,178.88348373515387,181.1895294189453,81958510
2020-04-21,176.9539416652571,177.14218766691923,172.24771981245772,173.8948974609375,53042420
2020-04-22,174.60081414171978,178.36579126606952,170.6946561201061,177.61279296875,61503413
2020-04-23,176.71862559581405,178.74229519062686,174.27138455637856,175.73031616210938,50955312
2020-04-24,173.18894786595968,173.18894786595968,168.4827264565586,169.18865966796875,65137305
2020-04-27,172.71834404260247,172.71834404260247,169.89461089749182,170.27110290527344,42996571
2020-04-28,171.30646395576855,174.45963813062298,170.55346563735947,173.47132873535156,49590230
2020-04-29,174.1302053057561,180.5306697786337,172.71833877624996,178.93055725097656,57470466
2020-04-30,182.13078572430948,184.3897664690136,178.5540542433202,179.3070526123047,63063889
2020-05-04,171.73003924214765,172.71834874227824,167.54150450204648,168.34156799316406,58118177
2020-05-05,170.36521062233834,170.60052168673383,158.88203355228768,160.3880157470703,91050439
2020-05-06,161.09395624279202,163.11764010567725,156.76424107899354,161.04690551757812,73156432
2020-05-07,160.81161370670824,162.4117263363658,158.88205978759916,160.7174835205078,42942399
2020-05-08,162.31760390748838,163.5882896706717,156.34071021661833,156.85838317871094,55932236
2020-05-11,158.08199281672304,158.97617211697164,155.30532473184604,155.7288818359375,54591827
2020-05-12,154.55231687498392,158.59967038637376,151.39915697129842,157.0936737060547,70752542
2020-05-13,168.05918583663038,168.05918583663038,160.48216575409003,163.8706512451172,81720683
2020-05-14,160.90571851940982,161.65871687073349,157.65842838921606,158.0819854736328,48136531
